chr	start	end	common_name	sys_name	fpkm_1	fpkm_2
chrV	87039	87201	YEL032C-A	YEL032C-A	0	0
chrVII	466236	466398	YGL014C-A	YGL014C-A	0	0
chrV	540649	540814	YER175W-A	YER175W-A	0	4.692682383
chrXII	481872	482037	YLR157W-E	YLR157W-E	0	0
chrV	318645	318810	YER078W-A	YER078W-A	0	0
chrII	622982	623147	YBR200W-A	YBR200W-A	0	0
chrIX	268308	268473	YIL046W-A	YIL046W-A	1.19135318	1.086493992
chrXV	1058422	1058590	YOR381W-A	YOR381W-A	1.515943417	1.84335308
chrXV	1084201	1084369	YOR394C-A	YOR394C-A	0	0
chrI	176855	177023	PAU7	YAR020C	10.61160392	5.530059239
chrXIII	298306	298475	SNR73	snR73	0	0
chrXII	708167	708338	YLR285C-A	YLR285C-A	1.489191474	0.90541166
chrXII	5604	5775	YLL066W-B	YLL066W-B	0	0
chrIV	521296	521469	YDR034W-B	YDR034W-B	5.050624452	1.151521063
chrXII	815809	815983	YLR342W-A	YLR342W-A	205.1949095	175.2141752
chrVII	149342	149516	YGL188C	YGL188C	0	0.889710879
chrXVI	297677	297851	YPL135C-A	YPL135C-A	0	0
chrXIII	70137	70311	YML100W-A	YML100W-A	1.756040814	1.601479583
chrXII	136344	136521	YLL006W-A	YLL006W-A	0	0
chrIV	173055	173232	YDL159C-B	YDL159C-B	0	0
chrVII	939493	939672	SNR7-S	snR7-S	93.86926036	27.67100803
chrII	143392	143572	YBL039W-B	YBL039W-B	14.14588433	12.45595231
chrXVI	797527	797709	TOM5	YPR133W-A	370.0640814	248.9882064
chrXV	4129	4312	YOL164W-A	YOL164W-A	0	0
chrVIII	212534	212720	CUP1-1	YHR053C	0	0
chrIX	437993	438179	YIR044C	YIR044C	0	0.831999903
chrI	124306	124492	YAL016C-B	YAL016C-B	0	0
chrXV	136219	136405	YOL097W-A	YOL097W-A	10.14679562	10.48753385
chrVIII	214532	214718	CUP1-2	YHR055C	0	0
chrXIV	116678	116867	YNL277W-A	YNL277W-A	0.498351478	1.211968363
chrXII	490405	490594	RRT15	YLR162W-A	4.039827936	1.637446619
chrIV	1392491	1392680	YDR464C-A	YDR464C-A	0	0
chrXIII	733267	733456	YMR230W-A	YMR230W-A	29.62540486	35.2051023
chrXII	433869	434058	YLR146W-A	YLR146W-A	62.23929817	41.93168949
chrVI	48733	48925	YFL041W-A	YFL041W-A	4.483805393	4.823105708
chrXVI	480181	480373	YPL038W-A	YPL038W-A	0	0
chrIII	315996	316188	YCR108C	YCR108C	0	0
chrXIII	611313	611508	YMR175W-A	YMR175W-A	7.829769608	0
chrXIII	478063	478258	YMR105W-A	YMR105W-A	0	0.79340197
chrXIII	887730	887925	YMR307C-A	YMR307C-A	0	0
chrXIV	351385	351580	YNL146C-A	YNL146C-A	10.43969281	17.45484334
chrXIII	499878	500073	SNR24	snR24	10720.25955	6961.308883
chrV	117182	117380	YEL020C-B	YEL020C-B	0	0.781319706
chrXVI	560568	560766	YPR002C-A	YPR002C-A	1.28508909	0
chrXV	773162	773363	YOR231C-A	YOR231C-A	0	0
chrVII	974576	974777	YGR240C-A	YGR240C-A	0	0
chrIV	955132	955333	YDR246W-A	YDR246W-A	6.329063766	3.847999554
chrII	680361	680562	YBR230W-A	YBR230W-A	23.31760335	11.74652495
chrIV	691013	691214	COX26	YDR119W-A	2.588574138	1.573823948
chrXV	392175	392376	YOR032W-A	YOR032W-A	0	2.308799732
chrIX	96521	96725	YIL134C-A	YIL134C-A	2.494212322	5.307585591
chrIV	829150	829354	YDR182W-A	YDR182W-A	1.027028603	0.936632751
chrVIII	241636	241840	NOP10	YHR072W-A	517.9796433	438.9278263
chrI	218139	218343	YAR061W	YAR061W	0	0
chrVIII	538741	538945	YHR212W-A	YHR212W-A	0	0
chrXIII	158759	158966	HUG1	YML058W-A	13.73750275	12.32950761
chrXV	355651	355858	YOR011W-A	YOR011W-A	0	0
chrXII	950266	950473	YLR412C-A	YLR412C-A	1.228944421	0.747184379
chrV	327243	327451	YER084W	YER084W	1.31172306	1.196269291
chrXIII	163411	163620	SNR54	snR54	7038.649185	5171.1194
chrXIV	292556	292766	YNL184C	YNL184C	0	0
chrXV	907725	907935	YOR316C-A	YOR316C-A	3.63391221	7.364592447
chrVII	946791	947001	YGR226C	YGR226C	1.21130407	1.472918489
chrXVI	665787	665997	YPR053C	YPR053C	11.1280242	7.103999176
chrXV	524604	524814	YOR108C-A	YOR108C-A	2.42260814	3.682296224
chrXI	98394	98607	YKL183C-A	YKL183C-A	1.194162975	0.726037652
chrV	201521	201734	YER023C-A	YER023C-A	1.194162975	0.726037652
chrXII	475763	475976	YLR157W-D	YLR157W-D	0	0
chrXVI	744174	744387	YPR108W-A	YPR108W-A	4.776651899	1.452075303
chrVII	345985	346201	YGL088W	YGL088W	0.693596029	0
chrVIII	122549	122765	YHR007C-A	YHR007C-A	1.177500236	0
chrVII	371002	371218	YGL072C	YGL072C	13.3985751	7.288689962
chrVII	733411	733627	YGR121W-A	YGR121W-A	3.532500707	4.295441362
chrVII	1027381	1027600	YGR270C-A	YGR270C-A	0	0
chrXIV	330328	330547	YNL162W-A	YNL162W-A	22.94029585	22.9136543
chrXIII	774710	774931	HOR7	YMR251W-A	395.8816778	276.5653862
chrVII	557564	557786	YGR035W-A	YGR035W-A	0	0.696470507
chrII	805034	805256	YBR298C-A	YBR298C-A	0	0
chrXI	315953	316175	YKL065W-A	YKL065W-A	2.009226593	1.83238074
chrVII	1076282	1076504	YGR291C	YGR291C	0	1.392941015
chrV	342389	342611	YER091C-A	YER091C-A	0	0.696470507
chrX	393065	393287	YJL026C-A	YJL026C-A	1.145531903	0.696470507
chrXV	342856	343081	YOR008C-A	YOR008C-A	0	0
chrIX	350284	350510	YIL002W-A	YIL002W-A	150.1942961	89.43362877
chrIX	9468	9696	YIL174W	YIL174W	0	0
chrIV	126607	126835	YDL185C-A	YDL185C-A	2.230507054	0
chrXII	1012458	1012686	YLR437C-A	YLR437C-A	1.115253527	0
chrI	2479	2707	YAL067W-A	YAL067W-A	0	0
chrII	351227	351455	YBR056W-A	YBR056W-A	15.67925163	12.32289887
chrII	490826	491056	MEO1	YBR126W-A	0	0
chrVII	277633	277864	YGL123C-A	YGL123C-A	0	0
chrXVI	718575	718806	SNR51	snR51	20.9134281	25.43025792
chrXII	582005	582236	YLR222C-A	YLR222C-A	27.51766855	18.73808478
chrVII	6859	7090	YGL260W	YGL260W	0	0
chrM	46722	46953	OLI1	Q0130	NA	NA
chrVII	482949	483182	YGL007C-A	YGL007C-A	29.43750589	16.10790511
chrII	565195	565428	YSY6	YBR162W-A	145.6319689	89.05738097
chrVII	9161	9395	YGL258W-A	YGL258W-A	2.173069104	0
chrVIII	540548	540782	YHR213W-A	YHR213W-A	0	0
chrXV	409774	410009	SNR62	snR62	3234.854814	2665.315246
chrXIV	89071	89307	SNR40	snR40	12839.11182	9185.420552
chrXVI	824689	824926	YPR145C-A	YPR145C-A	2.145445345	1.956609943
chrXV	703987	704224	YOR192C-C	YOR192C-C	1.072722672	0
chrIII	258414	258651	YCR081C-A	YCR081C-A	0	0.652203314
chrIII	248965	249202	EGO2	YCR075W-A	30.7580669	15.82354957
chrII	209408	209648	YBL008W-A	YBL008W-A	0	0.644016662
chrIII	41487	41727	YCL048W-A	YCL048W-A	1.059257534	1.288033323
chrIV	1017000	1017240	YDR278C	YDR278C	1.597240067	0.971103988
chrIV	477959	478199	YDR015C	YDR015C	0	0
chrXV	185403	185644	ATP19	YOL077W-A	119.0548211	80.28799069
chrXV	397425	397668	YOR034C-A	YOR034C-A	6.276757454	2.544131936
chrXIII	922201	922444	YMR324C	YMR324C	0	0
chrVIII	387200	387445	RPC10	YHR143W-A	293.0306689	226.6380839
chrXVI	131869	132115	YPL222C-A	YPL222C-A	10.33316533	5.025958601
chrXIV	586089	586335	SNR66	snR66	8430.829595	6043.086973
chrXV	407887	408134	SNR9	snR9	14812.06745	10644.88072
chrXVI	173825	174072	SNR59	snR59	1440.762483	1028.010287
chrIV	409807	410056	YDL022C-A	YDL022C-A	0	0
chrIII	155306	155556	HTL1	YCR020W-B	38.61232537	29.19172075
chrVI	103677	103932	SMX2	YFL017W-A	37.68993029	22.48269402
chrIII	151607	151862	YCR018C-A	YCR018C-A	2.990108866	1.817952545
chrXIV	7164	7419	YNL337W	YNL337W	0	0
chrIII	113769	114024	YCL001W-B	YCL001W-B	0	0
chrXIV	783286	783541	YNR077C	YNR077C	0	0
chrIV	436566	436824	YDL007C-A	YDL007C-A	0	0
chrIV	830396	830654	YDR183C-A	YDR183C-A	7.880546324	7.785835673
chrXIV	547112	547370	YNL042W-B	YNL042W-B	6.895478034	4.192373055
chrXV	135963	136222	SNR58	snR58	3833.744517	2752.662006
chrXII	746847	747111	YLR307C-A	YLR307C-A	0	0
chrVIII	381539	381806	SNR32	snR32	12625.76841	8945.297008
chrXII	853450	853718	YLR363W-A	YLR363W-A	127.1957475	87.04698019
chrIX	313198	313468	YIL021C-A	YIL021C-A	0	0
chrXII	898644	898914	RPS29A	YLR388W	1888.83732	1352.664825
chrIV	960085	960361	YDR250C	YDR250C	0	0
chrXV	832331	832609	SNR8	snR8	7223.815164	5157.708571
chrX	139413	139691	SNR128	snR128	15.53705185	18.89270539
chrXIII	67657	67936	SNR85	snR85	4524.142272	3248.929695
chrXVI	645874	646153	SPO24	YPR036W-A	185.683562	121.3817506
chrV	117193	117474	TIM9	YEL020W-A	147.7820801	105.7725986
chrX	448476	448758	LSO1	YJR005C-A	1.801868688	1.643273831
chrXI	309160	309442	YKL068W-A	YKL068W-A	80.09897095	109.5102824
chrXV	842402	842684	SNR5	snR5	13535.63758	9930.851517
chrX	65804	66086	YJL197C-A	YJL197C-A	0	0.547757944
chrX	676950	677234	TIM8	YJR135W-A	136.2160706	114.3290156
chrII	89942	90226	KTI11	YBL071W-A	72.7423586	56.15606154
chrI	21565	21850	YAL064W	YAL064W	0.891417432	0
chrIX	246913	247198	YIL058W	YIL058W	0.891417432	0
chrX	407141	407426	YJL015C	YJL015C	1.782834864	3.251830609
chrXVI	862576	862861	YPR160C-A	YPR160C-A	1.782834864	2.167887072
chrVI	114989	115274	AUA1	YFL010W-A	0.891417432	0
chrXV	867914	868200	YOR293C-A	YOR293C-A	2.664868954	1.080140226
chrIV	1385147	1385434	MFA1	YDR461W	1003.798365	746.4580952
chrX	316693	316980	COA3	YJL062W-A	103.5916783	70.72909464
chrVII	157319	157607	YGL182C	YGL182C	0.783784987	0
chrIV	1402918	1403206	SNR13	snR13	12660.77383	8217.289082
chrVII	364964	365252	SNR39	snR39	4533.109226	3420.02692
chrVIII	498570	498859	NBL1	YHR199C-A	4.395183171	8.551110119
chrIV	1224735	1225026	WIP1	YDR374W-A	32.59603657	27.74523283
chrXIII	337312	337603	YMR030W-A	YMR030W-A	0.872974313	1.061517118
chrI	22394	22685	YAL063C-A	YAL063C-A	0	1.592275677
chrIV	1202105	1202397	SEM1	YDR363W-A	122.0125244	78.43056415
chrXI	236975	237269	YKL106C-A	YKL106C-A	1.728072018	1.050648342
chrI	224010	224304	YAR069C	YAR069C	0	0
chrVIII	550647	550941	YHR214C-D	YHR214C-D	0	0
chrV	52024	52318	SNR80	snR80	5813.234269	4628.105948
chrXV	841888	842182	SNR31	snR31	7778.91619	5636.203032
chrIV	906999	907293	YDR220C	YDR220C	0	0.525324171
chrXIV	716114	716409	SNR49	snR49	10509.69024	7408.5771
chrXIII	252998	253293	YML007C-A	YML007C-A	6.888776889	7.329522959
chrIII	178501	178798	SNR189	snR189	5478.916552	4024.279533
chrVIII	207233	207530	YHR049C-A	YHR049C-A	3.421115549	0.51999994
chrXV	680569	680866	SNR36	snR36	3231.243636	2423.199719
chrIV	221522	221819	RPL41B	YDL133C-A	6902.100621	4705.999454
chrXIV	692560	692857	EGO4	YNR034W-A	10.75000215	3.921528208
chrXII	341290	341588	MIM2	YLR099W-A	63.64421665	36.11530307
chrIV	1108200	1108498	DAD4	YDR320C-A	86.23349382	69.26399197
chrXIII	511270	511569	YMR122W-A	YMR122W-A	912.8181779	627.006116
chrI	224562	224862	YAR070C	YAR070C	0	1.029565098
chrVIII	551199	551499	YHR214C-E	YHR214C-E	0.846697494	0
chrI	220197	220497	YAR064W	YAR064W	0	0
chrXII	673123	673423	RPS28B	YLR264W	1631.044076	1069.106628
chrIV	1524633	1524933	YDR543C	YDR543C	0	0
chrV	569607	569907	YER188C-A	YER188C-A	0.846697494	0
chrVIII	540799	541099	YHR213W-B	YHR213W-B	1.693394988	1.544347647
chrXII	169981	170281	YLR012C	YLR012C	0	0
chrXVI	724841	725144	YPR096C	YPR096C	8.382865916	8.154701041
chrIV	1186066	1186369	YDR355C	YDR355C	0	0
chrXVI	73624	73927	YPL251W	YPL251W	0	0
chrXVI	360002	360305	YPL102C	YPL102C	0	0
chrXII	1023685	1023988	YLR444C	YLR444C	0	0
chrXV	258802	259105	YOL035C	YOL035C	1.676573183	1.529006445
chrIV	681923	682226	YDR114C	YDR114C	0.838286592	1.01933763
chrX	137122	137425	YJL150W	YJL150W	4.191432958	1.01933763
chrIV	166955	167258	YDL163W	YDL163W	0	0
chrXVI	15052	15355	YPL278C	YPL278C	0	0
chrIX	394254	394557	YIR020C	YIR020C	0	0
chrIV	425569	425872	YDL016C	YDL016C	0	0
chrXIV	266513	266816	YNL198C	YNL198C	0	0
chrVII	366263	366568	SNR39B	snR39B	4949.994083	3577.120638
chrXIII	916745	917051	YMR320W	YMR320W	6.640329198	18.67226013
chrXV	651857	652163	YOR170W	YOR170W	2.490123449	2.523278396
chrII	8176	8482	YBL108W	YBL108W	0	0
chrVII	418287	418593	YGL042C	YGL042C	0.83004115	0.504655679
chrVII	403436	403742	YGL052W	YGL052W	0	1.009311358
chrXII	604573	604879	YLR230W	YLR230W	0	0
chrXII	641956	642262	YLR252W	YLR252W	4.150205749	3.027934075
chrXI	248061	248367	YKL102C	YKL102C	0	1.009311358
chrIX	174581	174887	YIL102C	YIL102C	0	0
chrXV	551797	552103	YOR121C	YOR121C	9.960493796	8.579146546
chrXI	525256	525562	YKR047W	YKR047W	23.24115219	13.12104766
chrXII	855537	855843	YLR366W	YLR366W	7.470370347	8.579146546
chrVIII	358857	359163	YHR125W	YHR125W	0	0.504655679
chrVII	225571	225877	YGL149W	YGL149W	0	0
chrV	128302	128608	YEL014C	YEL014C	0	0
chrXVI	718378	718684	YPR092W	YPR092W	0	0.504655679
chrIX	47666	47973	YIL156W-B	YIL156W-B	66.82463266	41.80060429
chrIII	142238	142546	SNR33	snR33	3524.4845	2569.511103
chrIV	1367372	1367681	YDR455C	YDR455C	0	0
chrIV	679543	679852	IRC2	YDR112W	0.821956333	1.499220605
chrI	10090	10399	YAL066W	YAL066W	0	0
chrX	76201	76510	BUD19	YJL188C	0	0.499740202
chrXV	841514	841823	YOR277C	YOR277C	14.795214	3.498181412
chrXIII	777614	777923	YMR254C	YMR254C	0.821956333	0.999480404
chrV	42651	42960	HHY1	YEL059W	0	0
chrXIII	923493	923802	YMR326C	YMR326C	0	0
chrXII	1067044	1067353	BSC3	YLR465C	0	0
chrIII	213463	213772	YCR050C	YCR050C	1.643912667	0
chrXIII	99488	99797	YML084W	YML084W	0.821956333	1.998960807
chrXV	96607	96916	YOL118C	YOL118C	0	0
chrI	57487	57796	YAL045C	YAL045C	0	0
chrXIII	549735	550044	YMR141C	YMR141C	0	1.499220605
chrXII	794265	794574	SNR61	snR61	38.63194767	35.98129453
chrIX	200152	200461	YIL086C	YIL086C	1.643912667	2.498701009
chrVI	3029	3338	YFL065C	YFL065C	0	0.499740202
chrXVI	943879	944188	YPR203W	YPR203W	0	0
chrXVI	789076	789385	YPR126C	YPR126C	0	0
chrII	43173	43482	YBL096C	YBL096C	0.821956333	1.998960807
chrVII	976414	976723	YGR242W	YGR242W	0	0.499740202
chrIV	130196	130506	RPL41A	YDL184C	5954.645366	4421.339034
chrXI	259220	259531	CWP2	YKL096W-A	4465.787394	3162.132113
chrXIII	905661	905973	YMR316C-A	YMR316C-A	2.442082482	0.494919557
chrVIII	380107	380419	YHR139C-A	YHR139C-A	0.814027494	0
chrXII	669372	669684	TMA7	YLR262C-A	450.9712317	321.6977119
chrIV	393689	394001	YDL032W	YDL032W	0	0
chrIV	404748	405060	YDL026W	YDL026W	0	0
chrIV	1328389	1328701	YDR431W	YDR431W	0.814027494	0
chrXV	44472	44784	YOL150C	YOL150C	4.07013747	7.423793351
chrII	87645	87957	YBL073W	YBL073W	0	0
chrII	127298	127610	RRT1	YBL048W	1.628054988	0
chrXII	112233	112545	YLL017W	YLL017W	0.814027494	1.48475867
chrXI	219125	219437	YKL118W	YKL118W	0.814027494	0.494919557
chrVII	785105	785418	YGR146C-A	YGR146C-A	5.190120629	5.259224903
chrIII	177088	177402	SNR65	snR65	1083.826894	861.0667372
chrII	582337	582652	YBR174C	YBR174C	0.806250161	0.490191026
chrX	386347	386662	YJL032W	YJL032W	0	0
chrVII	49430	49745	YGL239C	YGL239C	0	0
chrXII	777627	777942	VPS65	YLR322W	0	0
chrII	533234	533549	YBR144C	YBR144C	3.225000645	1.470573078
chrX	422697	423012	YJL007C	YJL007C	0	0
chrXI	506516	506831	YKR032W	YKR032W	1.612500323	0.490191026
chrI	334	649	YAL069W	YAL069W	0	0
chrII	36988	37303	YBL100C	YBL100C	0	0
chrI	124754	125069	YAL016C-A	YAL016C-A	0	0.490191026
chrIV	501099	501414	YDR029W	YDR029W	0	0
chrIII	115684	115999	YCR001W	YCR001W	0.806250161	0
chrV	94582	94897	YEL030C-A	YEL030C-A	0	0.490191026
chrXV	461501	461816	YOR072W	YOR072W	0.806250161	0.490191026
chrIV	553083	553398	YDR048C	YDR048C	0	0
chrXIV	76272	76587	YNL296W	YNL296W	0	0.490191026
chrXVI	821730	822046	SNR45	snR45	12302.09258	8530.09882
chrII	2581	2899	YBL112C	YBL112C	0	0
chrII	642582	642900	YBR209W	YBR209W	0.798620034	0.485551994
chrV	164343	164661	YER006C-A	YER006C-A	0	0.971103988
chrIV	857681	857999	YDR203W	YDR203W	1.597240067	0
chrIX	9182	9500	YIL175W	YIL175W	0	0
chrXIII	917578	917896	YMR321C	YMR321C	0	0
chrXVI	282685	283003	YPL142C	YPL142C	1.597240067	0.485551994
chrIX	254542	254860	YIL054W	YIL054W	0	0
chrX	85434	85752	YJL182C	YJL182C	0	0
chrXIV	578678	578996	YNL028W	YNL028W	0	0
chrXV	234349	234668	SNR81	snR81	3174.085187	2206.186411
chrIV	1352181	1352500	YDR445C	YDR445C	1.866063027	1.134545323
chrXV	237881	238202	YOL050C	YOL050C	0	0
chrIV	372214	372535	MRP10	YDL045W-A	73.83907728	44.53703187
chrII	90604	90925	YBL070C	YBL070C	0.791132971	0
chrXV	846999	847320	YOR282W	YOR282W	0	0
chrIV	411760	412081	YDL023C	YDL023C	0	0.480999944
chrI	201466	201787	YAR047C	YAR047C	1.582265942	2.404999721
chrXV	759208	759529	SNR35	snR35	11994.36697	8780.653982
chrXVI	711353	711674	VPS69	YPR087W	0	0
chrXI	578186	578507	YKR073C	YKR073C	0	0
chrVII	810183	810505	YGR161W-C	YGR161W-C	11.68442542	11.31377647
chrX	663748	664070	SNR3	snR3	19262.43656	13377.6124
chrX	191021	191345	YJL120W	YJL120W	0	1.429597357
chrVII	303512	303836	YGL109W	YGL109W	2.35135496	0.953064905
chrIV	432924	433248	YDL009C	YDL009C	3.135139946	1.90612981
chrIV	432307	432631	YDL011C	YDL011C	0	0
chrXV	377846	378170	YOR024W	YOR024W	0.783784987	0
chrV	551472	551796	YER181C	YER181C	0.783784987	1.429597357
chrIII	46639	46963	YCL046W	YCL046W	0	0
chrVII	592905	593229	YGR051C	YGR051C	0	0
chrIV	1005664	1005988	YDR269C	YDR269C	0	0
chrIX	402382	402706	YIR023C-A	YIR023C-A	0	0.476532452
chrXII	899179	899503	SNR34	snR34	11582.77453	8585.685196
chrXII	611793	612117	YLR236C	YLR236C	0	0.476532452
chrV	335695	336019	YER088C-A	YER088C-A	4.702709919	4.288792072
chrV	292239	292563	YER067C-A	YER067C-A	0.783784987	0
chrVII	794635	794960	YGR151C	YGR151C	0	0
chrII	684936	685261	DAD3	YBR233W-A	35.67734787	24.9599971
chrIV	229105	229431	STF1	YDL130W-A	21.24039541	15.00807082
chrIV	1490509	1490835	SNA2	YDR525W-A	83.02091742	68.85893938
chrXVI	30057	30384	ATP15	YPL271W	239.5597867	171.3795622
chrIV	1125301	1125628	YDR327W	YDR327W	0	0.944294369
chrVII	368595	368922	YGL074C	YGL074C	0	0
chrIV	286997	287324	OPI6	YDL096C	0.776572241	0
chrX	419854	420181	YJL009W	YJL009W	0	0.472147185
chrVII	1026635	1026962	YGR269W	YGR269W	7.765722413	2.360735923
chrIV	1397582	1397909	YDR467C	YDR467C	4.659433448	1.888588738
